Id,Attraction,Attraction Type,Review Month,Visit Month,Reviewer Rating,Reviewer Level,Reason for Poor Rating,Reviewer Type,Text,Long Text
1,Universal Studios,Theme Park,201612,2016-12,5,1,*,Families,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
2,Universal Studios,Theme Park,201612,2016-12,5,8,*,Families,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
3,Universal Studios,Theme Park,201612,2016-12,5,1,*,Families,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
4,Universal Studios,Theme Park,201612,2016-12,5,1,*,Families,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
5,Universal Studios,Theme Park,201612,2016-12,4,3,*,Couples,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
6,Universal Studios,Theme Park,201612,2016-12,4,7,*,Couples,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
7,Universal Studios,Theme Park,201612,2016-12,4,3,*,Solo,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
8,Universal Studios,Theme Park,201612,2016-12,4,7,*,Business,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
9,Universal Studios,Theme Park,201612,2016-12,3,1,Expensive,Friends,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
10,Universal Studios,Theme Park,201612,2016-12,3,8,Expensive,Friends,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
11,Universal Studios,Theme Park,201612,2016-12,2,4,Expensive,Families,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
12,Universal Studios,Theme Park,201612,2016-12,1,9,Expensive,Families,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
13,Universal Studios,Theme Park,201612,2016-12,4,8,*,Families,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
14,Universal Studios,Theme Park,201612,2016-12,5,2,*,Families,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
15,Universal Studios,Theme Park,201612,2016-12,5,9,*,Couples,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
16,Universal Studios,Theme Park,201612,2016-12,5,4,*,Couples,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
17,Universal Studios,Theme Park,201612,2016-12,3,5,Expensive,Solo,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
18,Universal Studios,Theme Park,201612,2016-12,3,2,Expensive,Business,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
19,Universal Studios,Theme Park,201612,2016-12,3,7,Expensive,Friends,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
20,Universal Studios,Theme Park,201612,2016-12,4,2,*,Friends,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
21,Universal Studios,Theme Park,201612,2016-12,3,1,Expensive,Families,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
22,Universal Studios,Theme Park,201612,2016-12,3,6,Expensive,Families,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
23,Universal Studios,Theme Park,201612,2016-12,2,4,Expensive,Families,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
24,Universal Studios,Theme Park,201612,2016-12,1,3,Long Queue,Families,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
25,Universal Studios,Theme Park,201612,2016-12,4,6,*,Couples,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
26,Universal Studios,Theme Park,201612,2016-12,5,8,*,Couples,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
